Unnamed: 0,h_team,a_team,WHH,WHD,WHA,h_fdr,a_fdr
0,Newcastle United,Bournemouth,0.576,0.226,0.198,3,4
1,Brentford,Liverpool,0.162,0.187,0.651,5,3
2,Leicester,Fulham,0.241,0.251,0.508,3,2
3,West Ham,Crystal Palace,0.358,0.284,0.358,3,2
4,Arsenal,Aston Villa,0.634,0.22,0.146,3,4
5,Everton,Tottenham,0.34,0.264,0.396,3,3
6,Manchester United,Brighton,0.456,0.26,0.284,3,3
7,Nottingham Forest,Southampton,0.671,0.204,0.125,2,4
8,Ipswich,Manchester City,0.117,0.188,0.695,4,2
9,Chelsea,Wolverhampton Wanderers,0.702,0.172,0.126,2,4
